age,gender,income,education_years,experience_years,region,credit_score,debt_ratio,num_accounts,previous_defaults,approved
41,male,48521,21,9,south,677,0.883,12,0,1
29,female,50282,13,13,south,565,0.473,14,0,1
67,male,60623,13,29,west,394,0.52,4,0,1
52,female,53498,8,24,west,561,0.191,1,0,1
50,female,64297,21,13,east,370,0.462,8,0,1
50,female,54306,8,34,east,518,0.903,4,0,1
68,female,40813,21,33,west,832,0.051,3,0,1
60,male,55422,18,9,west,391,0.864,9,0,1
54,female,32844,17,34,east,426,0.341,10,0,1
29,male,51628,10,10,north,379,0.9,4,0,0
20,male,49501,21,10,east,537,0.941,4,0,1
18,male,46878,17,20,north,671,0.671,14,0,1
50,male,48071,17,20,south,785,0.664,9,0,1
57,female,21772,19,21,south,324,0.453,13,0,1
27,female,41769,10,6,east,455,0.836,12,0,0
60,male,51392,11,16,north,816,0.962,11,0,1
61,male,52397,9,1,east,829,0.775,12,0,1
46,female,34584,16,11,east,356,0.622,14,0,0
30,male,68985,17,17,north,318,0.607,2,0,1
29,male,37007,19,10,east,683,0.849,14,0,1
48,male,64541,18,15,south,492,0.541,12,0,1
63,female,56407,21,17,west,536,0.804,5,0,1
19,female,40306,14,34,west,686,0.509,4,0,0
68,male,76629,14,25,east,725,0.062,9,0,1
67,male,32095,13,15,north,576,0.384,12,1,0
52,female,63787,10,5,north,526,0.444,5,0,1
40,female,65008,13,11,south,622,0.142,9,0,1
34,male,39940,21,12,north,452,0.102,11,0,1
43,female,70886,19,3,north,536,0.535,9,0,1
25,male,46249,15,38,south,354,0.085,14,0,1
46,male,54330,15,1,east,735,0.303,2,0,1
43,female,53904,18,25,west,408,0.745,14,1,0
27,male,47985,20,26,south,483,0.964,9,1,0
43,female,62162,16,26,east,667,0.718,3,0,1
51,male,61902,8,14,south,497,0.993,4,0,1
68,male,23772,21,7,east,670,0.698,1,0,1
58,female,69565,8,6,south,672,0.294,14,0,1
24,male,25062,10,39,east,796,0.672,1,0,1
21,female,65488,10,11,south,500,0.702,1,0,0
67,male,66900,17,12,east,808,0.372,9,0,1
62,male,33635,15,16,south,621,0.018,11,0,1
28,male,43837,17,16,west,574,0.703,8,0,1
46,female,33414,8,35,west,510,0.022,5,1,0
53,male,46776,20,20,north,803,0.631,5,0,1
42,female,45379,9,7,east,417,0.164,9,0,0
38,male,61694,9,4,south,341,0.566,3,0,1
53,female,69654,10,25,east,614,0.504,3,0,1
27,male,70935,20,15,west,628,0.014,7,0,1
54,female,41567,13,35,east,316,0.363,9,0,1
26,female,46861,8,27,south,582,0.601,6,0,0
41,female,24748,9,28,east,557,0.849,14,0,0
52,female,37911,20,11,south,318,0.889,2,0,0
66,female,64472,20,36,west,828,0.484,1,0,1
52,female,74233,8,29,west,722,0.728,2,0,1
65,male,31484,12,22,west,765,0.316,14,0,0
53,male,41113,20,15,north,672,0.342,14,0,1
35,female,49603,20,13,west,380,0.194,1,0,1
66,female,54202,14,9,east,847,0.562,10,0,1
56,female,37855,15,6,north,723,0.315,10,1,0
49,male,56360,17,36,west,728,0.084,9,0,1
41,male,42892,8,28,east,687,0.685,10,0,1
40,male,49783,14,2,east,503,0.708,12,0,1
49,female,58194,20,14,east,495,0.36,14,0,1
54,male,50096,12,35,south,584,0.077,13,0,1
29,male,43454,17,18,north,495,0.426,8,1,0
66,male,48355,8,12,east,606,0.442,7,0,0
30,male,48674,10,20,south,313,0.669,3,0,0
40,male,44449,14,36,west,445,0.315,8,0,1
42,male,46118,17,26,east,356,0.683,2,0,1
52,female,73979,8,28,south,509,0.871,2,1,1
58,male,58413,14,19,east,828,0.237,11,0,1
47,male,45567,12,24,north,643,0.979,10,0,1
34,male,60454,8,5,north,578,0.386,3,0,1
66,male,44992,8,35,west,508,0.267,7,0,1
37,male,67596,21,1,east,634,0.422,1,0,1
65,male,55544,8,21,south,587,0.094,8,0,1
42,female,48390,18,31,west,551,0.126,12,0,1
39,male,56715,16,15,east,564,0.414,7,0,1
30,female,26436,18,17,west,570,0.762,4,0,0
36,female,33098,20,4,south,718,0.9,14,0,0
66,female,32091,10,35,west,510,0.665,5,0,0
53,male,52144,20,29,west,664,0.105,10,0,1
29,male,75987,12,18,west,375,0.672,13,0,1
58,male,83469,18,22,east,620,0.635,1,1,1
36,male,59570,17,33,south,732,0.806,4,0,1
29,female,57512,19,12,north,408,0.825,1,1,0
26,male,22984,16,28,east,821,0.868,1,1,0
24,male,41859,13,35,north,346,0.414,10,0,1
45,female,38183,19,21,north,678,0.698,1,0,1
31,female,40687,16,35,east,395,0.268,7,0,0
48,male,47477,15,8,east,402,0.999,7,0,0
69,male,42918,15,38,south,445,0.175,4,0,1
36,male,20310,8,18,south,326,0.01,13,0,0
64,male,61218,20,37,west,829,0.149,12,0,1
33,male,33908,16,5,north,381,0.776,2,0,0
22,male,53588,13,14,south,727,0.447,12,0,0
52,male,81111,16,19,west,778,0.448,3,0,1
29,male,36209,10,8,south,461,0.955,8,0,0
42,male,12045,19,31,east,701,0.92,13,0,0
69,male,45709,10,3,south,807,0.311,8,0,1
38,male,66514,13,17,north,337,0.209,11,0,1
53,female,79375,16,4,south,810,0.848,11,1,1
40,female,31556,14,19,north,692,0.906,6,0,0
33,male,57450,21,22,east,793,0.542,10,0,1
56,male,43020,20,10,north,499,0.629,9,0,1
62,male,48410,10,36,south,554,0.257,11,0,1
59,female,89665,10,21,west,478,0.801,12,0,1
56,female,27455,9,3,east,846,0.632,9,1,0
31,male,53806,16,28,south,688,0.504,4,0,1
48,female,57015,20,33,east,697,0.06,12,1,0
22,male,66286,10,12,east,457,0.916,1,0,0
52,male,51469,18,8,south,303,0.615,1,0,1
40,female,54620,12,30,south,466,0.193,12,0,1
46,female,44125,21,6,west,767,0.606,10,1,0
60,female,54036,21,3,east,708,0.677,5,0,1
28,female,44852,16,18,east,711,0.526,14,0,1
35,male,59323,15,29,south,503,0.718,13,0,1
64,female,44455,9,30,north,493,0.581,2,0,1
29,male,55656,10,34,south,534,0.948,6,0,1
26,female,49561,9,20,east,449,0.054,7,1,0
27,male,66890,15,30,south,458,0.106,1,0,1
61,female,49229,13,18,west,578,0.174,6,0,1
34,male,23404,13,30,north,703,0.69,8,0,1
55,female,68928,19,31,south,610,0.646,12,0,1
24,male,36414,16,1,west,367,0.892,5,0,1
63,female,40193,15,9,east,762,0.733,14,0,0
30,male,41065,11,1,south,387,0.508,12,0,0
57,male,70616,19,1,east,516,0.992,7,0,1
59,male,17964,11,23,west,300,0.266,10,1,0
26,male,97066,16,16,east,434,0.833,6,1,1
67,female,65840,8,31,west,650,0.427,4,0,1
44,male,53348,20,15,west,439,0.649,7,0,1
19,female,49176,9,15,west,432,0.727,10,1,0
22,male,54283,9,38,south,477,0.634,9,0,1
46,male,57816,20,30,east,657,0.141,10,0,1
54,female,59678,20,23,east,679,0.443,10,1,0
55,female,58334,13,0,north,749,0.561,13,0,1
36,male,51343,11,10,north,762,0.849,7,0,1
25,male,47039,20,20,north,407,0.444,12,0,0
65,female,47730,18,3,north,421,0.919,14,0,0
62,male,47076,17,6,east,316,0.44,5,0,1
18,female,67006,20,25,west,495,0.549,7,0,1
39,female,58903,10,11,west,626,0.796,3,0,1
69,female,5894,10,30,south,617,0.583,2,0,0
34,male,59838,10,16,west,778,0.96,11,0,1
24,female,52921,13,32,east,551,0.66,5,0,1
42,male,49719,21,10,east,802,0.523,4,0,1
62,male,44172,15,27,east,418,0.024,5,0,1
21,male,66861,18,31,south,797,0.414,8,0,1
53,male,64212,14,0,north,785,0.299,12,0,1
23,female,38406,21,27,west,344,0.748,4,0,1
48,female,56105,11,6,east,613,0.208,9,0,1
36,female,35425,18,1,east,478,0.205,7,0,1
61,male,29305,19,23,north,717,0.19,10,0,1
56,male,40599,11,3,east,377,0.126,13,0,1
44,male,62935,18,18,west,625,0.311,12,0,1
27,female,64296,17,25,south,656,0.886,7,0,1
43,male,57696,18,10,east,715,0.775,13,1,0
36,female,60876,18,39,west,814,0.735,13,0,1
56,male,57742,21,10,east,513,0.797,8,0,1
20,male,40377,18,2,north,373,0.269,12,0,1
62,female,56478,9,11,east,808,0.887,6,0,1
30,male,62006,21,2,east,631,0.137,8,1,0
67,female,61314,8,26,south,392,0.336,3,0,1
45,female,67833,16,1,north,818,0.587,10,0,1
37,male,60624,19,15,north,568,0.103,10,0,1
45,male,55271,19,1,south,675,0.73,14,0,1
25,male,66052,9,29,east,303,0.387,1,0,1
58,female,49602,20,19,west,437,0.784,6,0,0
56,male,36771,15,37,north,530,0.493,1,0,1
18,female,47553,16,27,north,828,0.181,9,0,1
20,female,38826,11,24,east,351,0.735,14,0,0
30,female,39872,15,31,east,624,0.252,2,0,1
45,male,47832,16,9,north,576,0.491,11,0,1
66,female,38113,17,39,east,835,0.076,2,0,1
42,female,45380,17,32,west,785,0.618,7,0,1
50,male,21595,12,12,north,815,0.666,2,0,1
55,male,53199,20,36,west,451,0.379,10,0,1
23,female,50018,21,15,west,782,0.954,8,1,0
61,male,37743,14,21,east,558,0.874,6,0,1
62,female,59888,17,19,west,623,0.708,14,0,1
49,male,64063,11,26,east,467,0.714,7,0,1
62,male,25886,8,15,south,609,0.252,7,0,0
64,female,38559,10,33,east,778,0.657,6,0,1
38,male,38462,12,31,west,355,0.198,10,0,1
33,male,35901,10,25,south,772,0.144,11,0,1
38,male,62442,19,24,east,595,0.999,9,0,1
28,male,47092,20,1,west,760,0.622,13,0,1
54,male,46032,18,11,north,623,0.431,9,0,1
53,male,19942,14,39,north,440,0.288,7,0,0
52,female,59531,19,8,east,561,0.604,9,0,1
36,male,31411,16,11,east,719,0.05,13,0,1
37,female,50898,19,25,north,540,0.095,10,0,1
35,male,54160,13,8,west,654,0.033,3,0,1
64,female,70409,20,9,west,479,0.499,3,0,1
58,male,30367,17,31,west,365,0.601,1,0,1
66,female,4707,8,33,east,647,0.062,5,1,0
31,male,52757,14,19,south,470,0.721,4,0,1
32,male,77007,10,38,south,773,0.23,2,1,1
48,male,68584,12,1,south,833,0.685,9,1,1
18,male,53144,17,0,south,666,0.982,3,0,1
20,male,42625,11,35,south,406,0.691,8,0,1
33,male,62106,17,23,east,738,0.883,6,0,1
40,female,35396,12,26,east,526,0.948,14,0,0
28,male,57145,12,1,south,743,0.487,13,0,1
29,male,57582,13,30,east,741,0.702,5,0,1
27,female,65903,21,13,east,695,0.852,1,0,1
49,female,91394,17,1,south,383,0.357,4,1,1
33,male,55886,19,28,west,312,0.261,3,0,1
25,male,42365,17,14,east,792,0.947,1,0,1
55,male,49616,20,11,west,567,0.726,12,0,1
29,female,23463,20,36,east,824,0.22,5,1,0
41,female,39579,18,27,east,419,0.449,6,0,1
45,male,43860,13,19,south,652,0.796,2,0,1
25,female,42138,15,38,east,356,0.547,14,0,1
45,female,52285,15,23,north,339,0.65,3,0,1
53,male,37663,18,20,north,635,0.754,11,0,1
43,female,66815,16,9,south,472,0.622,14,0,1
25,male,50003,15,13,west,846,0.54,6,0,1
67,male,49860,20,36,west,558,0.75,4,0,1
45,male,45081,18,17,west,816,0.728,9,0,1
45,male,52327,9,23,north,822,0.63,5,1,0
54,male,62376,21,13,west,416,0.36,4,0,1
58,female,36993,21,33,west,483,0.406,2,1,1
53,male,40128,19,11,south,415,0.97,6,0,1
44,male,45444,17,21,west,461,0.112,10,0,1
34,male,29811,19,5,north,842,0.269,2,0,1
26,female,37711,18,35,north,536,0.492,12,0,1
50,male,42856,8,35,north,365,0.837,13,0,1
37,male,63115,17,21,south,369,0.164,7,0,1
30,male,53938,9,13,south,746,0.277,3,0,1
45,male,52903,9,15,east,715,0.066,9,0,1
65,female,62763,19,35,west,831,0.706,11,0,1
46,female,47939,10,24,south,740,0.238,5,0,1
30,male,55856,17,31,north,763,0.389,8,0,1
63,female,48451,14,32,north,695,0.444,11,0,1
52,female,53980,9,35,south,694,0.891,6,0,1
23,female,41258,21,19,south,625,0.411,14,0,1
35,male,13417,8,17,south,390,0.145,12,0,0
68,male,47985,21,37,east,369,0.524,10,0,1
22,male,71341,13,2,north,465,0.963,8,0,1
64,female,63893,16,22,east,513,0.608,13,0,1
42,male,64480,10,31,east,634,0.983,13,0,1
19,male,68541,13,15,west,668,0.841,11,0,1
27,male,51329,10,4,north,348,0.036,12,0,1
47,female,52959,21,3,north,351,0.658,3,1,0
67,male,40735,20,20,south,588,0.287,3,0,1
62,female,45258,8,39,south,538,0.56,5,0,1
22,female,59236,21,13,west,432,0.279,11,1,0
50,male,68058,20,38,east,465,0.349,10,1,1
18,female,47908,19,30,south,673,0.923,3,0,1
35,male,43247,12,13,south,672,0.207,8,0,1
49,female,50007,17,5,north,777,0.874,10,1,0
64,male,59018,21,11,north,778,0.03,13,0,1
66,female,28342,20,15,south,599,0.091,12,1,0
28,female,15557,18,16,north,381,0.855,14,0,0
38,female,41741,11,22,west,386,0.631,8,0,1
43,female,31689,14,13,south,524,0.747,2,0,0
42,male,42377,13,6,north,315,0.209,12,0,1
39,female,47783,17,31,west,657,0.537,4,0,1
44,female,43201,14,14,north,462,0.737,10,1,0
66,male,71787,12,16,north,813,0.627,13,0,1
30,male,54901,11,33,north,649,0.472,1,0,1
50,female,54507,14,4,south,763,0.96,4,0,1
51,female,59333,14,26,east,674,0.676,12,0,1
58,female,32917,13,22,north,391,0.908,13,0,0
52,male,65586,15,39,west,480,0.73,13,0,1
18,female,48863,11,13,south,600,0.735,11,0,1
38,male,60057,17,14,south,488,0.08,13,0,1
65,female,33922,12,32,west,613,0.359,4,0,0
23,male,26693,11,30,north,792,0.858,10,0,1
45,female,62268,19,34,east,427,0.233,9,1,0
34,female,55646,8,16,north,818,0.116,3,0,1
22,male,36469,19,27,west,725,0.326,2,0,1
48,female,36955,15,18,south,486,0.22,9,0,0
22,male,66881,8,22,east,849,0.925,9,0,1
55,female,32158,12,31,south,752,0.868,1,0,1
20,female,74640,13,39,west,770,0.5,6,0,1
40,male,36490,13,12,north,523,0.061,10,0,1
54,female,59575,20,19,east,453,0.715,8,0,1
54,female,45070,12,34,south,650,0.623,3,0,1
27,male,59047,10,4,south,446,0.971,11,0,1
27,male,41838,12,8,south,648,0.559,9,0,1
36,female,47558,19,28,north,481,0.336,2,0,1
34,female,50613,15,5,east,478,0.519,6,0,1
38,female,34967,21,24,north,338,0.979,1,0,1
31,female,61112,9,30,north,302,0.696,13,1,0
26,male,42301,13,21,north,363,0.672,7,1,0
63,female,46571,16,1,west,328,0.241,3,0,1
18,male,35084,15,4,west,671,0.744,7,0,1
68,male,11564,21,26,west,822,0.75,4,0,1
62,male,47134,18,24,east,396,0.317,9,1,0
30,male,86189,15,7,north,741,0.484,5,0,1
21,male,61769,15,0,north,502,0.295,3,0,1
18,male,49711,20,19,west,710,0.259,8,0,1
66,female,46056,14,22,north,320,0.026,6,0,1
57,male,50336,15,31,north,401,0.285,2,1,1
49,male,58206,20,10,south,345,0.554,3,0,1
51,male,32287,13,38,north,365,0.002,8,0,1
45,male,66714,9,23,south,463,0.283,10,0,1
48,male,60730,9,10,north,410,0.881,7,0,1
25,male,60772,15,28,east,637,0.594,10,0,1
56,female,56577,18,25,west,422,0.608,6,0,1
43,female,50294,8,15,south,746,0.403,14,1,0
51,female,60092,13,34,west,590,0.676,1,0,1
20,male,58877,20,19,south,711,0.19,9,0,1
67,male,44689,13,2,south,580,0.819,3,1,0
29,female,41395,18,0,south,342,0.117,14,0,0
18,male,51527,11,0,east,785,0.656,5,0,1
61,male,73235,19,16,north,350,0.341,7,0,1
22,male,31413,18,1,south,509,0.748,7,0,0
47,male,27987,20,28,east,425,0.55,3,0,1
47,male,52471,18,19,south,791,0.452,4,1,1
34,male,50763,20,5,north,808,0.169,10,0,1
65,male,52600,17,7,south,557,0.637,7,0,1
64,male,53659,10,28,east,487,0.975,8,0,1
40,female,46651,20,32,north,529,0.826,2,0,1
32,female,72347,18,2,east,488,0.06,9,0,1
54,female,25986,10,34,north,714,0.376,7,0,1
38,female,37572,20,4,north,309,0.926,13,1,0
31,female,48451,20,26,west,413,0.503,8,0,1
19,male,25352,8,11,west,375,0.662,6,0,1
28,male,47362,10,19,west,801,0.913,6,0,1
68,male,74922,11,19,north,384,0.874,9,0,1
56,female,50313,18,8,south,348,0.502,4,0,1
55,female,53460,18,38,east,794,0.438,11,0,1
51,male,31097,12,3,east,686,0.34,11,0,1
55,female,40754,10,18,east,688,0.719,5,0,1
67,male,44372,13,37,west,517,0.287,9,0,1
51,female,45234,18,26,north,645,0.25,1,0,1
35,male,69224,21,12,west,529,0.356,4,0,1
47,male,58365,19,12,south,554,0.177,7,0,1
32,male,33328,12,21,north,535,0.695,11,0,1
44,male,53697,10,27,east,325,0.616,9,0,1
68,male,57473,13,21,west,560,0.483,14,0,1
51,male,67102,13,18,west,570,0.39,13,0,1
69,female,73708,21,7,south,422,0.909,11,0,1
55,male,34773,15,7,south,556,0.029,12,0,1
50,male,37837,9,25,west,720,0.769,13,0,1
41,female,31136,8,25,south,558,0.902,10,0,1
32,female,46489,11,22,east,346,0.446,6,0,1
47,male,56995,14,12,south,824,0.551,12,0,1
59,male,64810,18,27,south,507,0.944,8,1,0
68,male,48860,17,8,west,610,0.212,13,0,1
34,male,45202,10,19,west,448,0.52,9,0,1
22,female,52276,10,18,north,737,0.475,10,0,1
46,male,37472,12,38,north,454,0.258,4,1,0
21,male,81343,12,11,west,389,0.819,1,0,1
27,female,25885,20,14,south,657,0.9,14,0,1
34,male,52771,17,30,south,473,0.782,8,1,0
27,male,80354,10,13,north,516,0.195,2,0,1
34,male,50101,16,10,north,755,0.087,11,0,1
37,female,47149,11,25,north,498,0.605,1,0,1
41,male,44638,20,26,east,785,0.057,13,0,1
22,female,47294,20,10,east,832,0.673,7,0,1
51,male,70592,10,37,north,499,0.53,12,0,1
23,male,16822,18,33,south,670,0.663,10,0,1
19,female,73001,9,18,north,747,0.59,9,0,1
30,female,28640,17,5,east,547,0.423,11,0,0
60,female,46000,20,37,south,563,0.201,12,0,1
60,female,43561,18,27,east,357,0.306,12,0,1
65,female,58828,16,0,south,601,0.525,9,1,0
28,male,26028,11,34,east,330,0.652,3,0,0
68,male,56932,10,39,south,797,0.779,6,0,1
64,female,80364,14,7,south,548,0.767,7,0,1
40,male,29552,15,6,south,570,0.973,14,0,0
33,female,52845,18,10,south,693,0.286,10,0,1
48,female,40070,21,38,west,801,0.071,9,0,1
28,male,56388,9,3,east,383,0.346,2,0,1
33,male,50287,14,24,east,664,0.743,8,0,1
25,female,40377,19,11,west,848,0.438,14,0,1
21,male,57318,12,25,south,641,0.818,7,0,1
57,female,77065,18,37,south,706,0.549,4,0,1
21,male,47136,12,11,east,724,0.93,2,0,1
42,female,60796,10,36,west,392,0.948,8,0,0
20,male,30600,12,23,south,711,0.069,11,0,1
49,female,35653,19,15,south,731,0.456,5,0,1
20,male,57086,9,12,south,458,0.61,6,0,1
44,male,72261,11,24,north,313,0.256,14,0,1
46,male,55334,13,3,west,672,0.407,11,1,0
49,female,45304,8,10,south,524,0.678,7,0,1
67,female,49989,17,31,north,804,0.227,10,0,1
68,male,31243,11,6,west,372,0.602,1,1,0
36,male,59067,13,10,south,548,0.697,8,0,1
38,male,63234,16,27,east,810,0.09,4,0,1
22,female,43218,21,22,north,515,0.498,13,0,1
35,female,42949,18,22,north,840,0.263,9,0,1
45,male,53988,18,27,south,519,0.724,1,0,1
59,male,43449,20,25,south,520,0.19,11,0,1
39,male,49008,9,24,north,688,0.892,2,0,1
38,male,81495,18,28,east,341,0.431,14,0,1
23,male,46294,14,18,east,582,0.198,6,0,1
18,female,44624,13,32,west,357,0.438,11,0,1
22,male,40286,9,35,south,836,0.409,10,0,1
58,female,61162,15,13,east,372,0.429,11,0,1
29,male,47281,14,13,west,428,0.586,14,0,1
43,male,40259,18,34,east,725,0.521,1,0,1
63,female,69819,12,29,south,424,0.15,4,0,1
51,female,71294,19,27,west,366,0.066,8,0,1
66,female,40993,12,16,west,305,0.729,10,0,0
31,male,22001,14,2,west,613,0.56,5,0,1
43,male,65112,16,15,east,625,0.359,13,0,1
62,female,39730,18,29,south,805,0.808,9,0,1
44,male,61859,16,28,west,381,0.388,11,0,1
26,male,20448,16,14,north,301,0.796,11,0,0
43,male,63388,13,24,south,503,0.306,6,0,1
64,male,31832,17,37,north,703,0.073,1,0,1
39,female,60961,13,37,north,402,0.933,6,1,0
64,male,50214,10,22,west,835,0.395,6,0,1
47,male,35690,8,24,west,667,0.793,13,1,0
60,male,43894,14,6,east,511,0.279,6,1,0
65,male,60294,11,21,east,508,0.646,8,0,1
34,male,51588,8,16,east,416,0.873,6,0,0
43,male,58766,15,17,south,777,0.042,5,0,1
53,male,79646,19,9,east,404,0.831,11,1,1
18,female,26536,13,9,north,794,0.571,2,0,0
25,male,74258,13,6,east,345,0.607,4,1,0
66,male,51565,9,37,west,630,0.523,14,0,1
52,female,36518,8,26,east,515,0.874,10,0,1
69,female,30045,20,32,south,791,0.043,5,0,1
32,male,47163,21,0,south,748,0.261,10,0,1
64,male,63824,21,33,north,835,0.876,4,0,1
39,male,48086,9,3,south,810,0.752,2,0,1
31,female,72667,11,16,east,757,0.018,7,0,1
43,female,28232,9,3,west,846,0.517,10,0,0
45,female,49818,8,25,south,835,0.53,10,0,1
40,male,31214,14,3,north,839,0.401,2,0,1
31,female,55454,18,0,east,783,0.297,1,0,0
41,male,63303,18,6,north,315,0.682,14,0,1
19,male,43688,19,29,south,542,0.208,5,0,1
62,male,10936,15,8,south,506,0.799,12,0,0
43,female,52984,13,34,north,570,0.803,13,0,1
31,male,56551,11,7,east,414,0.415,1,0,1
68,female,56064,21,23,south,598,0.284,1,0,1
24,male,68536,13,18,west,782,0.284,1,0,1
20,male,33934,10,35,south,696,0.482,6,0,0
64,male,60203,19,26,east,693,0.72,9,0,1
40,male,67887,15,31,south,374,0.359,10,0,1
63,female,23321,17,13,north,781,0.61,13,0,1
60,male,54794,21,17,south,402,0.382,11,0,1
64,female,42437,20,27,south,596,0.305,12,1,0
62,female,48777,20,28,east,477,0.025,1,1,0
35,female,55215,9,15,north,514,0.004,5,0,1
55,male,42691,12,34,east,614,0.227,9,0,1
